year,state,dem_votes,rep_votes,num_districts,wasted_democrat,wasted_republican,e_gap,mm_diff_against_dem,mm_diff_against_rep,partisan_bias_against_dem,partisan_bias_against_rep,gerry_metrics_mean
1976,Alabama,336068.0,314970.0,4,248056.5,77458.5,0.2620400038093015,0.0812624287118251,-0.08126242871182515,0.25,-0.25,0.19776747750704218
1976,Alaska,34194.0,83722.0,1,34194.0,24763.0,0.07998066420163506,0.0,0.0,-0.5,-0.5,-0.14000644526612163
1976,Arizona,355747.0,340478.0,4,182827.5,165281.0,0.025202341197170457,-0.003854915527406799,0.003854915527406799,0.0,0.0,0.0071158085565878855
1976,Arkansas,260997.0,75384.0,2,92804.5,75384.0,0.051788002295016664,0.0,0.0,0.0,0.0,0.01726266743167222
1976,California,4061169.0,3220418.0,42,1841126.5,1799625.0,0.005699513031980528,-0.05420657262200712,0.05420657262200723,-0.07142857142857145,0.0714285714285714,-0.03997854367286601
1976,Colorado,454741.0,536879.0,5,152580.0,343225.0,-0.1922561061697021,-0.047308647553385874,0.04730864755338593,-0.09999999999999998,0.09999999999999998,-0.11318825124102933
1976,Connecticut,681730.0,651250.0,6,233912.5,432571.5,-0.14903374394214466,-0.051668522295911457,0.05166852229591157,-0.16666666666666669,0.16666666666666663,-0.12245631096824094
1976,Delaware,102411.0,110636.0,1,102411.0,4111.5,0.46139818913197556,0.0,0.0,-0.5,-0.5,-0.012867270289341481
1976,Florida,926751.0,937257.0,10,535074.5,396919.5,0.07411717117093918,0.0022968272914651866,-0.002296827291465242,0.0,0.0,0.025471332820801454
1976,Georgia,665414.0,321891.0,7,171754.5,321891.0,-0.15206699044368255,0.0013941682390474774,-0.0013941682390475885,-0.07142857142857145,0.0714285714285714,-0.07403379787773551
1976,Hawaii,184166.0,77662.0,2,53250.0,77662.0,-0.09323678139847534,0.0,0.0,0.0,0.0,-0.031078927132825115
1976,Idaho,161899.0,180008.0,2,161899.0,9052.5,0.44704115446598053,0.0,0.0,0.0,0.0,0.14901371815532685
1976,Illinois,2246614.0,2112868.0,24,1218813.0,960904.0,0.05916046906490267,0.05642979330653253,-0.05642979330653264,0.04166666666666663,-0.041666666666666685,0.05241897634603394
1976,Indiana,1030312.0,932002.0,10,353890.0,627257.0,-0.13930848987470915,-0.020404737003434148,0.02040473700343426,-0.09999999999999998,0.09999999999999998,-0.08657107562604775
1976,Iowa,709435.0,526677.0,6,301203.0,316847.0,-0.012655811123911101,-0.005931160842687522,0.005931160842687577,0.0,0.0,-0.006195657322199541
1976,Kansas,348621.0,545240.0,5,174374.0,272551.5,-0.10983530996430094,0.019492992943630494,-0.019492992943630494,0.09999999999999998,-0.09999999999999998,0.0032192276597765115
1976,Kentucky,514985.0,374086.0,6,232362.5,212167.0,0.022715283706250682,-0.007797118961276328,0.007797118961276384,0.0,0.0,0.004972721581658118
1976,Louisiana,355484.0,364582.0,5,146375.5,213652.5,-0.0934317132040674,-0.02207736103239777,0.022077361032397658,-0.09999999999999998,0.09999999999999998,-0.07183635807882172
1976,Maine,151255.0,314815.0,2,151255.0,81778.0,0.1490698822065355,0.0,0.0,0.0,0.0,0.04968996073551183
1976,Maryland,694038.0,473316.0,7,378128.0,205542.0,0.1478437560500071,0.020988644061321837,-0.020988644061321726,0.0714285714285714,-0.07142857142857145,0.08008699051330011
1976,Massachusetts,986794.0,546515.0,8,328049.0,438597.5,-0.07209799198987288,-0.055081270478522404,0.05508127047852235,-0.125,0.125,-0.08405975415613176
1976,Michigan,1898241.0,1503114.0,19,995768.0,704890.5,0.08551812439454276,0.050602624638528715,-0.050602624638528715,0.02631578947368418,-0.026315789473684237,0.05414551283558522
1976,Minnesota,833244.0,729577.0,7,399666.5,381737.0,0.011472523084857448,-0.05775310057450578,0.05775310057450583,-0.07142857142857145,0.0714285714285714,-0.03923638297273993
1976,Mississippi,281641.0,256608.0,4,154088.0,115032.5,0.07256028343759115,0.05120190134047686,-0.05120190134047686,0.0,0.0,0.04125406159268934
1976,Missouri,1080807.0,812238.0,10,344390.5,602122.0,-0.1361465258353605,-0.01549095423577107,0.01549095423577107,0.0,0.0,-0.05054582669037719
1976,Montana,180459.0,140446.0,2,96566.0,63884.5,0.10184166653682554,0.0,0.0,0.0,0.0,0.03394722217894185
1976,Nebraska,211007.0,385630.0,3,113682.0,184633.5,-0.11891904122607214,0.08755425072054851,-0.08755425072054857,0.16666666666666663,-0.16666666666666669,0.04510062538704767
1976,Nevada,153996.0,24124.0,1,64935.0,24124.0,0.22912081742645407,0.0,0.0,-0.5,-0.5,-0.09029306085784865
1976,New Hampshire,173598.0,148998.0,2,95650.5,65645.5,0.09301107267294077,0.0,0.0,0.0,0.0,0.03100369089098026
1976,New Jersey,1538658.0,1217932.0,15,558708.5,819571.5,-0.09463249884821465,-0.046459827498083084,0.046459827498083084,-0.09999999999999998,0.09999999999999998,-0.08036410878209924
1976,New Mexico,185363.0,214718.0,2,97515.0,102523.5,-0.012518714960220556,0.0,0.0,0.0,0.0,-0.004172904986740185
1976,New York,3239945.0,2292372.0,39,1542972.0,1223147.5,0.05781022670971313,-0.0068200105395490596,0.0068200105395490596,-0.14102564102564102,0.14102564102564108,-0.030011808285158984
1976,North Carolina,793411.0,549410.0,9,282101.5,389300.0,-0.07983081885076268,0.0015838899510527416,-0.001583889951052797,-0.05555555555555558,0.05555555555555558,-0.04460082815175517
1976,North Dakota,104263.0,181018.0,1,104263.0,38376.5,0.23095299020965293,0.0,0.0,-0.5,-0.5,-0.08968233659678236
